Country,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09
Nigeria,3,1,6,5,6,39,97,120,0
Cameroon,0,3,0,0,0,3,1,0,0
Central African Republic,0,0,2,4,2,0,0,0,0
Republic of Congo,0,0,0,2,0,0,1,0,0
England,0,0,0,0,183,1002,1251,821,155
Democratic Republic Of The Congo,0,0,0,0,10,97,56,32,0
Portugal,0,0,0,0,100,302,231,238,37
Spain,0,0,0,0,136,1060,3104,2243,540
United States,0,0,0,0,21,449,4705,13704,5524
Belgium,0,0,0,0,9,108,276,313,51
Germany,0,0,0,0,41,886,1668,872,123
France,0,0,0,0,17,481,1455,1586,395
Canada,0,0,0,0,27,260,514,485,102
Sweden,0,0,0,0,4,24,57,72,29
Italy,0,0,0,0,19,140,320,281,77
Netherlands,0,0,0,0,26,231,621,288,55
Australia,0,0,0,0,2,10,32,77,11
Switzerland,0,0,0,0,4,79,189,199,32
Israel,0,0,0,0,2,40,104,93,11
Denmark,0,0,0,0,2,16,81,76,8
Austria,0,0,0,0,1,19,91,154,39
Scotland,0,0,0,0,4,30,27,24,8
United Arab Emirates,0,0,0,0,4,9,3,0,0
Czech Republic,0,0,0,0,5,3,12,28,18
Slovenia,0,0,0,0,2,7,26,8,3
Northern Ireland,0,0,0,0,2,4,13,8,7
Wales,0,0,0,0,1,9,20,14,2
Ireland,0,0,0,0,2,37,46,59,34
Argentina,0,0,0,0,2,4,17,110,193
Finland,0,0,0,0,1,3,13,5,11
Malta,0,0,0,0,1,3,13,14,2
Mexico,0,0,0,0,1,10,80,413,863
Norway,0,0,0,0,1,16,36,27,10
Hungary,0,0,0,0,1,18,18,33,7
Gibraltar,0,0,0,0,0,1,4,1,0
Morocco,0,0,0,0,0,1,0,2,0
Latvia,0,0,0,0,0,2,1,1,1
Ghana,0,0,0,0,0,18,17,21,28
Brazil,0,0,0,0,0,49,1321,3667,2263
Greece,0,0,0,0,0,7,25,24,16
Poland,0,0,0,0,0,12,41,77,43
Venezuela,0,0,0,0,0,1,0,2,2
Romania,0,0,0,0,0,11,10,15,3
Benin,0,0,0,0,0,3,0,0,0
Iceland,0,0,0,0,0,4,6,2,0
Georgia,0,0,0,0,0,1,0,1,0
Luxembourg,0,0,0,0,0,3,20,30,2
Chile,0,0,0,0,0,8,47,289,439
Serbia,0,0,0,0,0,1,9,21,9
Singapore,0,0,0,0,0,1,10,5,3
Lebanon,0,0,0,0,0,1,3,2,5
South Africa,0,0,0,0,0,2,1,2,0
South Korea,0,0,0,0,0,1,0,0,1
Croatia,0,0,0,0,0,1,9,16,3
Colombia,0,0,0,0,0,3,12,567,1071
Bulgaria,0,0,0,0,0,3,1,0,2
Bahamas,0,0,0,0,0,1,0,1,0
Taiwan,0,0,0,0,0,1,1,1,0
Peru,0,0,0,0,0,3,302,1226,720
Estonia,0,0,0,0,0,1,7,2,1
Puerto Rico,0,0,0,0,0,1,20,93,59
Turkey,0,0,0,0,0,1,0,10,0
Panama,0,0,0,0,0,0,1,9,3
Dominican Republic,0,0,0,0,0,0,3,6,22
Ecuador,0,0,0,0,0,0,5,46,42
Jamaica,0,0,0,0,0,0,2,3,8
Slovakia,0,0,0,0,0,0,6,6,2
New Zealand,0,0,0,0,0,0,2,2,1
Russia,0,0,0,0,0,0,1,0,1
New Caledonia,0,0,0,0,0,0,1,0,0
Bosnia And Herzegovina,0,0,0,0,0,0,1,2,0
Saudi Arabia,0,0,0,0,0,0,4,4,0
India,0,0,0,0,0,0,5,5,2
Martinique,0,0,0,0,0,0,1,5,1
Barbados,0,0,0,0,0,0,1,0,0
Qatar,0,0,0,0,0,0,2,1,2
Costa Rica,0,0,0,0,0,0,3,0,1
Bermuda,0,0,0,0,0,0,1,0,0
Thailand,0,0,0,0,0,0,2,5,1
Monaco,0,0,0,0,0,0,1,2,0
Liberia,0,0,0,0,0,0,1,1,0
Andorra,0,0,0,0,0,0,3,1,0
Guadeloupe,0,0,0,0,0,0,1,0,0
Japan,0,0,0,0,0,0,2,2,0
Philippines,0,0,0,0,0,0,1,3,0
Uruguay,0,0,0,0,0,0,1,3,2
Sudan,0,0,0,0,0,0,1,1,4
Saint Martin (French part),0,0,0,0,0,0,0,1,0
Bolivia,0,0,0,0,0,0,0,79,76
Montenegro,0,0,0,0,0,0,0,2,0
Cyprus,0,0,0,0,0,0,0,5,0
Lithuania,0,0,0,0,0,0,0,5,0
Guatemala,0,0,0,0,0,0,0,6,9
Moldova,0,0,0,0,0,0,0,2,0
Greenland,0,0,0,0,0,0,0,2,0
Honduras,0,0,0,0,0,0,0,4,2
Curaçao,0,0,0,0,0,0,0,1,2
Iran,0,0,0,0,0,0,0,1,0
Indonesia,0,0,0,0,0,0,0,1,0
Cuba,0,0,0,0,0,0,0,2,0
Aruba,0,0,0,0,0,0,0,2,1
Guyana,0,0,0,0,0,0,0,2,0
Paraguay,0,0,0,0,0,0,0,1,0
South Sudan,0,0,0,0,0,0,0,2,0
El Salvador,0,0,0,0,0,0,0,1,3
Hong Kong,0,0,0,0,0,0,0,0,1
Egypt,0,0,0,0,0,0,0,0,1
Jordan,0,0,0,0,0,0,0,0,1
Guam,0,0,0,0,0,0,0,0,1
Ukraine,0,0,0,0,0,0,0,0,2
Bahrain,0,0,0,0,0,0,0,0,1
China,0,0,0,0,0,0,0,0,1
